side,q_a_command_rad,q_b_command_rad,wheel_hx_m,wheel_hz_m,other_wheel_hx_m,other_wheel_hz_m,gas_slide_q_m,max_abs_qvel,max_abs_equality_residual_m,q_link_005_joint_rad,q_link_006_joint_rad,q_link_007_joint_rad,q_link_008_joint_rad,q_link_009_joint_rad,q_link_011_joint_rad,q_link_013_joint_rad,q_link_004_joint_rad,q_link_017_joint_rad,q_link_019_joint_rad,q_link_021_joint_rad,q_link_020_joint_rad,q_link_022_joint_rad,q_link_024_joint_rad,q_link_016_joint_rad,q_link_018_joint_rad
left,-0.24930000000000002,-0.05740000000000001,-0.0106458524797138,-0.110611493320341,1.72028744174643e-09,-0.134300206915378,-0.0170194291870554,1.37252667015384e-06,1.19238058315929e-09,-0.436837762131242,-5.24255286030825e-14,0.436837774250652,-2.60151459975509e-13,-0.436837777443069,-0.035635538226935,-5.17894554738559e-10,0.436837762193525,,,,,,,,
left,-0.24930000000000002,-0.028949999999999976,-0.0124492575483948,-0.112537831104971,1.72028744174643e-09,-0.134300206915378,-0.0165286082008311,1.40047709320169e-06,1.19238058315929e-09,-0.416846831478666,-5.00277829388469e-14,0.41684684378547,-2.66920543719884e-13,-0.416846846724136,-0.0350388193234133,-5.09024836087901e-10,0.41684683154475,,,,,,,,
left,-0.24930000000000002,-0.0005000000000000004,-0.0143112577681417,-0.114448300391727,1.72028744174643e-09,-0.134300206915378,-0.0160334304758413,1.42769157287763e-06,1.19238058315929e-09,-0.396636190444679,-4.75253490591173e-14,0.396636202939473,-2.73600579528724e-13,-0.396636205629514,-0.0343201533165805,-4.98187454083039e-10,0.396636190514688,,,,,,,,
left,-0.24930000000000002,0.027949999999999975,-0.0162317762313127,-0.116340338252414,1.72028744174643e-09,-0.134300206915378,-0.0155342622913639,1.45400309127261e-06,1.19238058315929e-09,-0.376211896562696,-4.49165500061686e-14,0.376211909246131,-2.80168864372838e-13,-0.376211911692749,-0.0334784319895831,-4.8538674167884e-10,0.376211896636747,,,,,,,,
left,-0.24930000000000002,0.056400000000000006,-0.0182106385635267,-0.118211382087146,1.72028744174643e-09,-0.134300206915378,-0.0150314764639408,1.4792388066241e-06,1.19238058315929e-09,-0.35557999738001,-4.22112447915967e-14,0.35558001025281,-2.86588101422958e-13,-0.355580012461276,-0.032512771327769,-4.70630783230369e-10,0.355579997458216,,,,,,,,
left,-0.24930000000000002,0.08484999999999998,-0.0202475734095441,-0.120058875420838,1.72028744174643e-09,-0.134300206915378,-0.0145254512902147,1.50322058740861e-06,1.19238058315929e-09,-0.334746512177186,-3.94160737789664e-14,0.334746525240146,-2.92835453294734e-13,-0.334746527215803,-0.0314225062076917,-4.53931201147942e-10,0.334746512259649,,,,,,,,
left,-0.24930000000000002,0.11330000000000001,-0.0223422131952525,-0.121880273434505,1.72028744174643e-09,-0.134300206915378,-0.0140165695276988,1.52576553984671e-06,1.19238058315929e-09,-0.313717415360398,-3.65387988541405e-14,0.313717428614401,-2.98835399087051e-13,-0.313717430362658,-0.0302071841171781,-4.35302934953785e-10,0.313717415447213,,,,,,,,
left,-0.24930000000000002,0.14175000000000004,-0.024494095141678,-0.12367304822322,1.72028744174643e-09,-0.134300206915378,-0.0135052174180027,1.54668656267611e-06,1.19238058315929e-09,-0.292498621510574,-3.35851494021816e-14,0.292498634956595,-3.04563542490711e-13,-0.292498636482932,-0.0288665580451852,-4.14764009195948e-10,0.292498621601824,,,,,,,,
left,-0.24930000000000002,0.17019999999999996,-0.0267026625074208,-0.125434693776562,1.72028744174643e-09,-0.134300206915378,-0.01299178375605,1.56579287669143e-06,1.19238058315929e-09,-0.271095972053492,-3.05737295636874e-14,0.271095985692608,-3.10033727977045e-13,-0.271095987002572,-0.027400578676974,-3.92335299226382e-10,0.271095972149246,,,,,,,,
left,-0.24930000000000002,0.19864999999999994,-0.0289672660366876,-0.127162730680861,1.72028744174643e-09,-0.134300206915378,-0.0124766590078965,1.58289056888794e-06,1.19238058315929e-09,-0.24951522349866,-2.75080199221254e-14,0.249515237332061,-3.15154780860794e-13,-0.249515238431272,-0.0258093860249694,-3.68040294858936e-10,0.249515223598974,,,,,,,,
left,-0.24930000000000002,0.22710000000000002,-0.0312871655911038,-0.128854710545495,1.72028744174643e-09,-0.134300206915378,-0.0119602344789152,1.59778313563776e-06,1.19238058315929e-09,-0.227762037181626,-2.4410284183396e-14,0.227762051210623,-3.19908711251356e-13,-0.227762052104774,-0.0240933006189347,-3.41904863148691e-10,0.227762037286538,,,,,,,,
left,-0.24930000000000002,0.25555,-0.0336615319446673,-0.13050822015796,1.72028744174643e-09,-0.134300206915378,-0.0114429015333557,1.61027197465474e-06,1.19475050686102e-09,-0.20584197043412,-2.12798274464305e-14,0.205841984660161,-3.24196181036165e-13,-0.20584198535502,-0.0222528143711463,-3.13957016069849e-10,0.205841970543651,,,,,,,,
left,-0.24930000000000002,0.284,-0.0360894487225118,-0.132120885374463,1.72028744174643e-09,-0.134300206915378,-0.0109250508656087,1.62015694399463e-06,1.20554334570588e-09,-0.183760469098973,-1.8137133966292e-14,0.183760483523649,-3.28100195259091e-13,-0.183760484025067,-0.0202885812234413,-2.8422668133148e-10,0.183760469213121,,,,,,,,
left,-0.22160000000000002,-0.285,0.00306945582900895,-0.096795579411696,1.72028744174643e-09,-0.134300206915378,-0.0203160984047436,1.07680739912585e-06,1.19238058315929e-09,-0.570599920084367,-6.08434146151171e-14,0.57059993090287,-1.99150484993928e-13,-0.570599936020313,-0.0365326728560677,-5.26248324656871e-10,0.570599920120554,,,,,,,,
left,-0.22160000000000002,-0.25655,0.00172672102951848,-0.0988004165493954,1.72028744174643e-09,-0.134300206915378,-0.0198654266958023,1.10207840384667e-06,1.19238058315929e-09,-0.552319769725876,-5.93068007471733e-14,0.55231978072877,-2.04786977418288e-13,-0.55231978555938,-0.0367419801144997,-5.31004538678726e-10,0.552319769764666,,,,,,,,
left,-0.22160000000000002,-0.22809999999999997,0.000327636764880385,-0.100808424615769,1.72028744174643e-09,-0.134300206915378,-0.0194081036096753,1.12742018762176e-06,1.19238058315929e-09,-0.533778955095125,-5.76602761112686e-14,0.533778966282783,-2.10516458140508e-13,-0.533778970831083,-0.0368436301684128,-5.33883834798226e-10,0.533778955136628,,,,,,,,
left,-0.22160000000000002,-0.19965,-0.00112845600185104,-0.10281723762877,1.72028744174643e-09,-0.134300206915378,-0.0189444179273942,1.1527170080695e-06,1.19238058315929e-09,-0.514982955330816,-5.5911911016234e-14,0.514982966703624,-2.16296729615741e-13,-0.514982970974251,-0.0368349004067706,-5.34859861084954e-10,0.514982955375143,,,,,,,,
left,-0.22160000000000002,-0.1712,-0.00264212646806249,-0.104824440975772,1.72028744174643e-09,-0.134300206915378,-0.0184746728538119,1.17784473878435e-06,1.19238058315929e-09,-0.495937410879287,-5.40550577388044e-14,0.495937422437655,-2.22087250176171e-13,-0.495937426435347,-0.036713291243968,-5.33910913691254e-10,0.495937410926548,,,,,,,,
left,-0.22160000000000002,-0.14275,-0.00421385171894465,-0.106827578350348,1.72028744174643e-09,-0.134300206915378,-0.0179991849119891,1.20267110956171e-06,1.19238058315929e-09,-0.476648095348593,-5.20965618521718e-14,0.476648107092954,-2.27856984041976e-13,-0.47664811082255,-0.0364765312066528,-5.31019895978067e-10,0.476648095398897,,,,,,,,
left,-0.22160000000000002,-0.11429999999999998,-0.00584401487604076,-0.108824158641197,1.72028744174643e-09,-0.134300206915378,-0.0175182828138688,1.22705606945525e-06,1.19238058315929e-09,-0.457120888331807,-5.0031416130973e-14,0.45712090026263,-2.33596993383425e-13,-0.45712090372906,-0.0361225802313144,-5.26174245021507e-10,0.457120888385259,,,,,,,,
left,-0.22160000000000002,-0.08584999999999998,-0.00753290365466743,-0.110811662725825,1.72028744174643e-09,-0.134300206915378,-0.0170323063189802,1.25085212333585e-06,1.19238058315929e-09,-0.437361749404143,-4.78658881992692e-14,0.437361761521935,-2.39276405212084e-13,-0.437361764730215,-0.0356496312484706,-5.19365823175842e-10,0.437361749460846,,,,,,,,
left,-0.22160000000000002,-0.05740000000000001,-0.00928070931437909,-0.112787550127564,1.72028744174643e-09,-0.134300206915378,-0.0165416050920668,1.27390478237786e-06,1.19238058315929e-09,-0.417376693461182,-4.559382656476e-14,0.417376705766497,-2.44863459099041e-13,-0.417376708721729,-0.0350561101491335,-5.10590786603536e-10,0.417376693521233,,,,,,,,
left,-0.22160000000000002,-0.028949999999999976,-0.0110875259838142,-0.114749265500521,1.72028744174643e-09,-0.134300206915378,-0.0160465375695598,1.29605298022308e-06,1.19238058315929e-09,-0.397171767529036,-4.32290553106387e-14,0.397171780022485,-2.50325630799552e-13,-0.397171782729846,-0.0343406742452417,-4.99849424383065e-10,0.397171767592526,,,,,,,,
left,-0.22160000000000002,-0.0005000000000000004,-0.0129533503390896,-0.116694244912969,1.72028744174643e-09,-0.134300206915378,-0.0155474698437755,1.31712958218865e-06,1.19238058315929e-09,-0.376753029142479,-4.07732465035348e-14,0.376753041824733,-2.55629089703033e-13,-0.376753044289477,-0.0335022093479562,-4.87145978366184e-10,0.376753029209493,,,,,,,,
left,-0.22160000000000002,0.027949999999999975,-0.0148780816133582,-0.118619921905423,1.72028744174643e-09,-0.134300206915378,-0.015044774572624,1.33696185919557e-06,1.19238058315929e-09,-0.356126526354651,-3.8235559180822e-14,0.356126539226452,-2.60750026632904e-13,-0.356126541453908,-0.0325398255962526,-4.72488446550918e-10,0.356126526425266,,,,,,,,
left,-0.22160000000000002,0.056400000000000006,-0.0168615219141698,-0.120523733304985,1.72028744174643e-09,-0.134300206915378,-0.014538829921517,1.35537202106988e-06,1.19238058315929e-09,-0.33529827941233,-3.56253440472915e-14,0.335298292474497,-2.65643126891672e-13,-0.335298294470063,-0.0314528521733551,-4.55888369530026e-10,0.335298279486611,,,,,,,,
left,-0.22160000000000002,0.08484999999999998,-0.0189033768248051,-0.122403124782549,1.72028744174643e-09,-0.134300206915378,-0.0140300185430744,1.37217774038503e-06,1.19238058315929e-09,-0.314274264104279,-3.29448108270164e-14,0.31427427735772,-2.70270001297954e-13,-0.314274279126867,-0.030240831050557,-4.37360609193361e-10,0.31427426418228,,,,,,,,
left,-0.22160000000000002,0.11330000000000001,-0.0210032562657344,-0.124255556143921,1.72028744174643e-09,-0.134300206915378,-0.0135187265991819,1.38719267696897e-06,1.19238058315929e-09,-0.293060396767094,-3.02089322010975e-14,0.293060410212811,-2.74597761634714e-13,-0.29306041176108,-0.0289035098972028,-4.16923117827762e-10,0.293060396848856,,,,,,,,
left,-0.22160000000000002,0.14175000000000004,-0.0231606755927102,-0.126078506349946,1.72028744174643e-09,-0.134300206915378,-0.0130053428289585,1.40022701348553e-06,1.19238058315929e-09,-0.271662520913176,-2.74239254000084e-14,0.271662534552279,-2.78629995075042e-13,-0.271662535885281,-0.027440834292474,-3.94596703298256e-10,0.271662520998725,,,,,,,,
left,-0.22160000000000002,0.17019999999999996,-0.0253750569086743,-0.127869478264228,1.72028744174643e-09,-0.134300206915378,-0.0124902576652674,1.41108798069123e-06,1.19238058315929e-09,-0.250086395429043,-2.46070450766491e-14,0.250086409262755,-2.82272187329463e-13,-0.250086410386177,-0.0258529393695048,-3.70404792508904e-10,0.250086395518386,,,,,,,,
left,-0.22160000000000002,0.19864999999999994,-0.0276457305675791,-0.129626003130014,1.72028744174643e-09,-0.134300206915378,-0.0119738624015575,1.4195803806264e-06,1.19238058315929e-09,-0.228337684278934,-2.17646889938376e-14,0.228337698308605,-2.85472997754241e-13,-0.228337699228208,-0.0241401410156507,-3.44373195861452e-10,0.228337684372059,,,,,,,,
left,-0.22160000000000002,0.22710000000000002,-0.029971936849331,-0.131345644780342,1.72028744174643e-09,-0.134300206915378,-0.0114565484100612,1.42550707446428e-06,1.19446609547769e-09,-0.206421947638355,-1.8918338554153e-14,0.206421961865475,-2.88223681580736e-13,-0.206421962587099,-0.022302926744818,-3.16529872294534e-10,0.206421947735229,,,,,,,,
left,-0.22160000000000002,0.25555,-0.0323528277863125,-0.133026003587611,1.72028744174643e-09,-0.134300206915378,-0.010938706411697,1.42866950219259e-06,1.20525875391131e-09,-0.184344634374668,-1.60723292720942e-14,0.184344648800874,-2.90552600268597e-13,-0.184344649330443,-0.0203419463489672,-2.86904702311256e-10,0.18434463447523,,,,,,,,
left,-0.22160000000000002,0.284,-0.0347874691232679,-0.134664720160329,1.72028744174643e-09,-0.134300206915378,-0.0104207257974395,1.42886815314078e-06,1.21605431280258e-09,-0.162111075786633,-1.32505658401232e-14,0.162111090413729,-2.92251572183369e-13,-0.162111090757253,-0.0182580024265579,-2.5552926449503e-10,0.1621110758908,,,,,,,,
left,-0.19390000000000002,-0.285,0.0044971178264248,-0.0986608070667384,1.72028744174643e-09,-0.134300206915378,-0.0198773941425632,1.00704946702335e-06,1.19238058315929e-09,-0.552805049840944,-5.42696912009229e-14,0.552805060841678,-1.90164846761775e-13,-0.552805065684854,-0.0367378314498703,-5.31740483272647e-10,0.552805049876347,,,,,,,,
left,-0.19390000000000002,-0.25655,0.0031556772490809,-0.100706699606913,1.72028744174643e-09,-0.134300206915378,-0.0194202427743074,1.02852400904508e-06,1.19238058315929e-09,-0.534271037884828,-5.26784425727274e-14,0.534271049070389,-1.94904752654568e-13,-0.534271053631685,-0.0368423555265329,-5.34703129454577e-10,0.534271037922647,,,,,,,,
left,-0.19390000000000002,-0.22809999999999997,0.00175729030425504,-0.102755038267851,1.72028744174643e-09,-0.134300206915378,-0.0189567210078633,1.04979246464653e-06,1.19238058315929e-09,-0.515481694190529,-5.0995909271884e-14,0.515481705561311,-1.99695129073358e-13,-0.515481709845403,-0.0368365687321641,-5.3576442550485e-10,0.515481694230853,,,,,,,,
left,-0.19390000000000002,-0.19965,0.000301318771343399,-0.104803426386778,1.72028744174643e-09,-0.134300206915378,-0.0184871316819063,1.07072897379809e-06,1.19238058315929e-09,-0.496442655317923,-4.92182889222801e-14,0.496442666874343,-2.044775433971e-13,-0.49644267088601,-0.036717965528956,-5.34902563529283e-10,0.496442655360838,,,,,,,,
left,-0.19390000000000002,-0.1712,-0.00121278470765753,-0.106849422891045,1.72028744174643e-09,-0.134300206915378,-0.0180117909828204,1.09119981166606e-06,1.19238058315929e-09,-0.477159691719088,-4.73451110260853e-14,0.47715970346159,-2.09198261718349e-13,-0.477159707205713,-0.036484268380506,-5.32100345141559e-10,0.477159691764679,,,,,,,,
