side,target_rotation_rad,target_shape_rad,q_a_command_rad,q_b_command_rad,actual_rotation_rad,actual_shape_rad,rotation_tracking_error_rad,shape_tracking_error_rad,wheel_hx_m,wheel_hz_m,wheel_radius_m,wheel_angle_rad,other_wheel_hx_m,other_wheel_hz_m,gas_slide_q_m,max_abs_nonwheel_qvel,max_abs_equality_residual_m,q_link_005_joint_rad,q_link_006_joint_rad,q_link_007_joint_rad,q_link_008_joint_rad,q_link_009_joint_rad,q_link_011_joint_rad,q_link_013_joint_rad,q_link_004_joint_rad,q_link_017_joint_rad,q_link_019_joint_rad,q_link_021_joint_rad,q_link_020_joint_rad,q_link_022_joint_rad,q_link_024_joint_rad,q_link_016_joint_rad,q_link_018_joint_rad
left,2.0943951023931957,-0.281,1.8133951023931956,-2.375395102393196,2.09439510225567,-0.28099999919906005,1.444177089027221e-08,8.009399810049445e-10,0.0806040276651587,0.046536758622334,0.09307351491653813,2.0943951168349666,1.72028746950201e-09,-0.134300206915378,-0.0211735791126062,5.1381216589314e-09,1.19238058315929e-09,-0.605428739302279,3.02998628720605e-16,0.605428749793605,5.49452260406782e-13,-0.605428755526724,-0.0358274415645712,-1.96391706436186e-10,0.605428739302729,,,,,,,,
left,2.356194490192345,-0.281,2.0751944901923447,-2.637194490192345,2.356194490036615,-0.2809999991448049,1.5159026478528403e-08,8.551951369284438e-10,0.0658129124908027,0.0658129144861221,0.09307351483467075,2.3561945053513713,1.72028746950201e-09,-0.134300206915378,-0.0211735791109239,5.60427641837031e-09,1.19238058315929e-09,-0.605428739234333,4.51974913078237e-16,0.605428749725718,7.37656902947651e-13,-0.605428755458333,-0.0358274415663729,-9.78788674784251e-11,0.605428739234925,,,,,,,,
left,2.617993877991494,-0.281,2.336993877991494,-2.898993877991494,2.617993877815185,-0.28099999909055495,1.609805311275636e-08,9.094450748037275e-10,0.0465367560891748,0.0806040289624958,0.09307351477348542,2.617993894089547,1.72028746950201e-09,-0.134300206915378,-0.0211735791092812,6.30249653317317e-09,1.19238058315929e-09,-0.605428739168397,5.62388234314116e-16,0.605428749659925,9.5220545482468e-13,-0.605428755391551,-0.0358274415681388,1.48335607882098e-11,0.60542873916918,,,,,,,,
left,2.879793265790643,-0.281,2.598793265790643,-3.1607932657906432,2.8797932655859952,-0.28099999905152484,1.719375486430863e-08,9.484751872790298e-10,0.0240891966622381,0.0899021120400105,0.09307351473478685,2.879793282984398,1.72028746950201e-09,-0.134300206915378,-0.0211735791083591,7.88208345753947e-09,1.19238058315929e-09,-0.605428739132349,9.9455241948836e-16,0.605428749624219,1.19395588499438e-12,-0.605428755353983,-0.0358274415691276,1.42285849935165e-10,0.605428739133203,,,,,,,,
left,3.141592653589793,-0.281,2.860592653589793,-3.4225926535897933,3.1415926533476046,-0.280999999036595,1.838310950198791e-08,9.63405022424979e-10,-1.71098061969232e-09,0.0930735147184309,0.09307351471843091,-3.141592635206684,1.72028746950201e-09,-0.134300206915378,-0.0211735791088629,1.03273527115631e-08,1.19238058315929e-09,-0.605428739151973,1.33223299120301e-15,0.60542874964402,1.46126901799158e-12,-0.605428755374069,-0.0358274415684706,2.84847747135839e-10,0.60542873915173,,,,,,,,
left,-3.141592653589793,-0.252925,-3.394517653589793,2.8886676535897933,-3.1415926533714247,-0.25292499926743495,1.7570544130762755e-08,7.325650641654136e-10,-1.70251358752985e-09,0.0968958948430396,0.09689589484303962,-3.141592636019249,1.72028746950201e-09,-0.134300206915378,-0.0203043079895087,1.63982765854872e-08,1.19238058315929e-09,-0.570121509977856,-4.82928210477315e-15,0.570121520827969,2.0944755092604e-12,-0.570121526019266,-0.0365395464278491,4.45087751548904e-10,0.570121509978223,,,,,,,,
left,-2.8797932657906435,-0.252925,-3.1327182657906434,2.6268682657906437,-2.87979326561625,-0.25292499917003,1.8776012300492088e-08,8.299700371416918e-10,-0.0250785047386401,0.0935942468331546,0.09689589485727176,-2.8797932470146312,1.72028746950201e-09,-0.134300206915378,-0.0203043079903357,7.96306050445603e-09,1.19238058315929e-09,-0.570121510018857,-1.82018303799637e-15,0.570121520871043,1.81955403359921e-12,-0.570121526051736,-0.0365395464271369,2.97930124769682e-10,0.570121510016628,,,,,,,,
left,-2.6179938779914944,-0.252925,-2.8709188779914943,2.3650688779914946,-2.61799387784451,-0.2529249991768998,1.9838182208076208e-08,8.231001991099163e-10,-0.0484479491131575,0.0839143055420235,0.09689589489690044,-2.617993858153312,1.72028746950201e-09,-0.134300206915378,-0.0203043079913777,6.36624276267195e-09,1.19238058315929e-09,-0.570121510068023,-5.23117508690236e-16,0.57012152092143,1.55784785811398e-12,-0.570121526093934,-0.0365395464265866,1.63231471579135e-10,0.570121510066445,,,,,,,,
left,-2.356194490192345,-0.252925,-2.6091194901923447,2.103269490192345,-2.356194490065085,-0.252924999214045,2.0739891581911252e-08,7.859550232858226e-10,-0.0685157458165361,0.0685157429745179,0.09689589496024269,-2.3561944694524533,1.72028746950201e-09,-0.134300206915378,-0.0203043079926573,5.34243295075722e-09,1.19238058315929e-09,-0.570121510123997,-1.1375325457593e-16,0.570121520978035,1.31152652904871e-12,-0.570121526145928,-0.0365395464259123,4.06943393059576e-11,0.570121510123212,,,,,,,,
left,-2.0943951023931957,-0.252925,-2.3473201023931956,1.8414701023931956,-2.09439510228212,-0.25292499926002,2.14280202470718e-08,7.399800217022801e-10,-0.0839143076683411,0.0484479457236879,0.0968958950436107,-2.0943950809651755,1.72028746950201e-09,-0.134300206915378,-0.0203043079940475,4.68912389630032e-09,1.19238058315929e-09,-0.570121510182392,5.36688890702859e-17,0.570121521036719,1.08289581547601e-12,-0.570121526202409,-0.036539546425149,-6.97591627557623e-11,0.570121510182115,,,,,,,,
left,-1.832595714594046,-0.252925,-2.085520714594046,1.5796707145940458,-1.83259571449784,-0.2529249993049799,2.1855673937309913e-08,6.950200970301523e-10,-0.0935942481269014,0.025078501009371,0.09689589514172935,-1.832595692738372,1.72028746950201e-09,-0.134300206915378,-0.0203043079954057,4.51183479837986e-09,1.19238058315929e-09,-0.570121510238322,4.77966693745388e-17,0.570121521092769,8.72698244390291e-13,-0.570121526257556,-0.0365395464243812,-1.68232178159681e-10,0.570121510238287,,,,,,,,
left,-1.5707963267948966,-0.252925,-1.8237213267948966,1.3178713267948965,-1.570796326713325,-0.25292499934383506,2.1991104270924208e-08,6.56164955703531e-10,-0.0968958952482257,-2.1308477345583e-09,0.09689589524822573,-1.5707963048037923,1.72028746950201e-09,-0.134300206915378,-0.0203043079965857,4.31904958583334e-09,1.19238058315929e-09,-0.57012151028662,7.82312073758972e-17,0.570121521141131,6.82326578235666e-13,-0.570121526305455,-0.0365395464237077,-2.54846011289181e-10,0.570121510286723,,,,,,,,
left,-1.3089969389957472,-0.252925,-1.5619219389957473,1.0560719389957471,-1.308996938928785,-0.25292499937577495,2.1823594709147184e-08,6.242250605303923e-10,-0.0935942472380848,-0.025078505152856,0.09689589535561126,-1.3089969171721525,1.72028746950201e-09,-0.134300206915378,-0.0203043079975627,4.11995327912041e-09,1.19238058315929e-09,-0.570121510326455,7.81408195823372e-17,0.570121521180999,5.1333886484145e-13,-0.570121526345106,-0.036539546423146,-3.29635921849125e-10,0.57012151032663,,,,,,,,
left,-1.0471975511965979,-0.252925,-1.300122551196598,0.7942725511965978,-1.0471975511443197,-0.2529249994003605,2.136315790934873e-08,5.996395047169756e-10,-0.0839143059526485,-0.048447949520855,0.09689589545636086,-1.04719752983344,1.72028746950201e-09,-0.134300206915378,-0.0203043079983185,3.95217269738963e-09,1.19238058315929e-09,-0.570121510357203,9.85660646114879e-17,0.570121521211764,3.66477088503829e-13,-0.570121526375773,-0.0365395464227099,-3.92623864996601e-10,0.570121510357416,,,,,,,,
left,-0.7853981633974483,-0.252925,-1.0383231633974483,0.5324731633974482,-0.7853981633599696,-0.2529249994175105,2.063993909118267e-08,5.824895010775322e-10,-0.0685157433937281,-0.0685157462220497,0.09689589554341047,-0.7853981427575092,1.72028746950201e-09,-0.134300206915378,-0.0203043079988466,3.82854288538624e-09,1.19238058315929e-09,-0.570121510378662,1.07673315145976e-16,0.570121521233232,2.42570660634201e-13,-0.570121526397203,-0.0365395464224039,-4.43803670398395e-10,0.570121510378894,,,,,,,,
left,-0.5235987755982987,-0.252925,-0.7765237755982988,0.2706737755982987,-0.5235987755757355,-0.25292499942722246,1.970209129176226e-08,5.727775476138675e-10,-0.0484479461520522,-0.0839143080758191,0.09689589561067913,-0.5235987558962074,1.72028746950201e-09,-0.134300206915378,-0.0203043079991449,3.75389180776823e-09,1.19238058315929e-09,-0.570121510390766,1.06801771996443e-16,0.57012152124534,1.42621541745429e-13,-0.570121526409305,-0.0365395464222305,-4.83147872350153e-10,0.570121510391007,,,,,,,,
left,-0.2617993877991496,-0.252925,-0.5147243877991496,0.008874387799149563,-0.2617993877916183,-0.2529249994295147,1.8612455077171578e-08,5.704853256460751e-10,-0.0250785014453718,-0.093594248539892,0.09689589565349294,-0.2617993691866945,1.72028746950201e-09,-0.134300206915378,-0.0203043079992134,3.73122649862345e-09,1.19238058315929e-09,-0.570121510393529,1.20195977657524e-16,0.570121521248102,6.72818404662607e-14,-0.570121526412081,-0.0365395464221898,-5.10605886638206e-10,0.570121510393773,,,,,,,,
left,0.0,-0.252925,-0.252925,-0.252925,-7.615491570689414e-12,-0.2529249994245045,1.7444120887428083e-08,5.754954846004523e-10,1.69026371754415e-09,-0.0968958956689137,0.09689589566891371,1.7444120887428083e-08,1.72028746950201e-09,-0.134300206915378,-0.0203043079990519,3.75951797814771e-09,1.19238058315929e-09,-0.570121510386967,1.34289406303776e-16,0.570121521241538,1.71911960845207e-14,-0.570121526405526,-0.0365395464222828,-5.26104620934103e-10,0.570121510387216,,,,,,,,
left,0.2617993877991496,-0.252925,0.008874387799149563,-0.5147243877991496,0.26179938777628314,-0.25292499941221885,1.6275580605462636e-08,5.87781157079803e-10,0.0250785047113264,-0.0935942476673226,0.09689589565594688,0.2617994040747302,1.72028746950201e-09,-0.134300206915378,-0.0203043079986584,3.83660180919261e-09,1.19238058315929e-09,-0.570121510371009,1.57576299410004e-16,0.570121521225578,-7.09909600341902e-15,-0.570121526389561,-0.0365395464225112,-5.29534577810583e-10,0.570121510371273,,,,,,,,
left,0.5235987755982987,-0.252925,0.2706737755982987,-0.7765237755982988,0.5235987755600615,-0.25292499939262947,1.5185379953486233e-08,6.073705427489529e-10,0.0484479490820702,-0.0839143063898536,0.09689589561559918,0.5235987907836787,1.72028746950201e-09,-0.134300206915378,-0.0203043079980321,3.96573007081439e-09,1.19238058315929e-09,-0.570121510345633,1.80876783344061e-16,0.570121521200201,-5.1295925761916e-15,-0.570121526364152,-0.0365395464228755,-5.20764929261544e-10,0.570121510345922,,,,,,,,
left,0.7853981633974478,-0.252925,0.5324731633974478,-1.038323163397448,0.7853981633436931,-0.25292499936571705,1.424670470484557e-08,6.342829594885302e-10,0.0685157457892454,-0.0685157438369983,0.09689589555081096,0.7853981776441525,1.72028746950201e-09,-0.134300206915378,-0.0203043079971729,4.15303969910016e-09,1.19238058315929e-09,-0.570121510310848,1.99587029473654e-16,0.570121521165417,2.33603856775812e-14,-0.570121526329296,-0.036539546423376,-4.99640164727166e-10,0.570121510311174,,,,,,,,
left,1.0471975511965974,-0.252925,0.7942725511965973,-1.3001225511965975,1.047197551127123,-0.25292499933143703,1.3522388320197365e-08,6.685629827529738e-10,0.083914307651354,-0.0484479465984079,0.09689589546625942,1.0471975647189857,1.72028746950201e-09,-0.134300206915378,-0.0203043079960809,4.40882930606176e-09,1.19238058315929e-09,-0.570121510266674,2.42114718084497e-16,0.57012152112125,7.87048809782928e-14,-0.570121526284994,-0.036539546424013,-4.65977189917191e-10,0.570121510267055,,,,,,,,
left,1.3089969389957474,-0.252925,1.0560719389957474,-1.5619219389957475,1.308996938910235,-0.252924999289735,1.3060640347006824e-08,7.102650134704902e-10,0.0935942481249242,-0.0250785018911063,0.0968958953680294,1.3089969520563878,1.72028746950201e-09,-0.134300206915378,-0.0203043079947588,4.75519849243988e-09,1.19238058315929e-09,-0.570121510213262,2.85823852921288e-16,0.570121521067859,1.60927772687254e-13,-0.57012152623136,-0.0365395464247851,-4.19563877155808e-10,0.570121510213716,,,,,,,,
left,1.5707963267948966,-0.252925,1.3178713267948965,-1.8237213267948966,1.570796326692735,-0.25292499924063505,1.2891840039941371e-08,7.593649598014451e-10,0.0968958952631609,1.24916637723567e-09,0.09689589526316092,1.5707963396867366,1.72028746950201e-09,-0.134300206915378,-0.0203043079932223,5.26100205253814e-09,1.19238058315929e-09,-0.57012151015131,3.69930531440096e-16,0.570121521005953,2.70200407153196e-13,-0.570121526169026,-0.036539546425683,-3.60153389733673e-10,0.570121510151854,,,,,,,,
left,1.8325957145940457,-0.252925,1.5796707145940456,-2.0855207145940455,1.83259571447463,-0.25292499918362,1.302714158768481e-08,8.163800191418602e-10,0.0935942472689964,0.0250785042787312,0.09689589515922942,1.8325957276211873,1.72028746950201e-09,-0.134300206915378,-0.0203043079914814,5.95852520294445e-09,1.19238058315929e-09,-0.570121510081096,4.85161893786332e-16,0.570121520935799,4.06634370182928e-13,-0.570121526098384,-0.0365395464266958,-2.87521767472786e-10,0.570121510081691,,,,,,,,
left,2.0943951023931957,-0.252925,1.8414701023931956,-2.3473201023931956,2.0943951022548797,-0.2529249991195599,1.3457620351431387e-08,8.804401097073367e-10,0.083914305995323,0.0484479486609762,0.09689589506337865,2.094395115850816,1.72028746950201e-09,-0.134300206915378,-0.0203043079896559,7.08395159570289e-09,1.19238058315929e-09,-0.570121510007488,5.83068477388406e-16,0.57012152086229,5.70058560147623e-13,-0.570121526024265,-0.0365395464277452,-2.01308008342298e-10,0.570121510007991,,,,,,,,
left,2.356194490192345,-0.252925,2.103269490192345,-2.6091194901923447,2.35619449003268,-0.25292499905078003,1.4160048245059897e-08,9.492199803950996e-10,0.068515743440244,0.0685157453806165,0.09689589498131905,2.356194504352393,1.72028746950201e-09,-0.134300206915378,-0.0203043079880767,8.88280948561493e-09,1.19238058315929e-09,-0.570121509942844,9.34988402377533e-16,0.570121520797698,7.60235131382324e-13,-0.570121525959974,-0.036539546428593,-1.01135171491516e-10,0.570121509942587,,,,,,,,
left,2.617993877991494,-0.252925,2.365068877991494,-2.870918877991494,2.61799387781064,-0.25292499898387,1.509903091445608e-08,1.0161300134647888e-09,0.0484479461914449,0.0839143072520138,0.09689589491693916,2.617993893090525,1.72028746950201e-09,-0.134300206915378,-0.0203043079872221,1.07670829296557e-08,1.19238058315929e-09,-0.570121509903427,1.05247792260211e-15,0.570121520757904,9.76820396369514e-13,-0.570121525924737,-0.0365395464288728,1.33198806784248e-11,0.570121509900727,,,,,,,,
left,2.879793265790643,-0.252925,2.6268682657906433,-3.132718265790643,2.8797932655980247,-0.2529249989497251,1.6241925582249905e-08,1.0502749225871355e-09,0.0250785014639695,0.0935942477218276,0.09689589486811684,2.8797932820325687,1.72028746950201e-09,-0.134300206915378,-0.0203043079885251,1.9985916610629e-08,1.19238058315929e-09,-0.570121509938344,9.15289962207765e-16,0.570121520790831,1.21979074329926e-12,-0.570121525976277,-0.0365395464275295,1.42518365632564e-10,0.570121509928951,,,,,,,,
left,3.141592653589793,-0.252925,2.8886676535897933,-3.394517653589793,3.14159265345047,-0.2529249991206599,1.7570769084832297e-08,8.793401007345381e-10,-1.70253536177892e-09,0.0968958948155807,0.09689589481558071,-3.1415926360190243,1.72028746950201e-09,-0.134300206915378,-0.0203043079961909,4.3524522692581e-08,1.19238058315929e-09,-0.570121510184835,-4.15941357618149e-15,0.570121521028609,1.48703211751902e-12,-0.570121526284629,-0.0365395464215815,2.87154895856849e-10,0.570121510158244,,,,,,,,
left,-3.141592653589793,-0.22485000000000002,-3.366442653589793,2.916742653589793,-3.141592653832995,-0.22484999896174518,1.5182238133348847e-08,1.0382548432108507e-09,-1.53050541641405e-09,0.100808944229795,0.10080894422979501,-3.141592638407555,1.72028746950201e-09,-0.134300206915378,-0.0194081063167945,1.38557794353568e-07,1.19238058315929e-09,-0.533779065004269,1.58559068339338e-14,0.533779076251796,2.02969400382337e-12,-0.533779080552011,-0.0368436298882852,4.28310949179632e-10,0.533779065109546,,,,,,,,
